end,value,state,type
02/01/2014,331000,nat,h
02/08/2014,337000,nat,h
2/15/2014,332000,nat,h
2/22/2014,341000,nat,h
03/01/2014,319000,nat,h
03/08/2014,322000,nat,h
3/15/2014,321000,nat,h
3/22/2014,313000,nat,h
3/29/2014,330000,nat,h
04/05/2014,311000,nat,h
04/12/2014,308000,nat,h
4/19/2014,327000,nat,h
4/26/2014,345000,nat,h
05/03/2014,325000,nat,h
05/10/2014,303000,nat,h
5/17/2014,324000,nat,h
5/24/2014,305000,nat,h
5/31/2014,312000,nat,h
06/07/2014,317000,nat,h
6/14/2014,314000,nat,h
6/21/2014,315000,nat,h
6/28/2014,308000,nat,h
07/05/2014,302000,nat,h
07/12/2014,308000,nat,h
7/19/2014,294000,nat,h
7/26/2014,303000,nat,h
08/02/2014,295000,nat,h
08/09/2014,309000,nat,h
8/16/2014,303000,nat,h
8/23/2014,300000,nat,h
8/30/2014,303000,nat,h
09/06/2014,307000,nat,h
9/13/2014,288000,nat,h
9/20/2014,295000,nat,h
9/27/2014,290000,nat,h
10/04/2014,293000,nat,h
10/11/2014,281000,nat,h
10/18/2014,290000,nat,h
10/25/2014,291000,nat,h
11/01/2014,280000,nat,h
11/08/2014,291000,nat,h
11/15/2014,293000,nat,h
11/22/2014,303000,nat,h
11/29/2014,291000,nat,h
12/06/2014,291000,nat,h
12/13/2014,286000,nat,h
12/20/2014,276000,nat,h
12/27/2014,285000,nat,h
01/03/2015,294000,nat,h
01/10/2015,304000,nat,h
1/17/2015,299000,nat,h
1/24/2015,262000,nat,h
1/31/2015,282000,nat,h
02/07/2015,298000,nat,h
2/14/2015,284000,nat,h
2/21/2015,305000,nat,h
2/28/2015,316000,nat,h
03/07/2015,293000,nat,h
3/14/2015,289000,nat,h
3/21/2015,283000,nat,h
3/28/2015,267000,nat,h
04/04/2015,281000,nat,h
04/11/2015,294000,nat,h
4/18/2015,295000,nat,h
4/25/2015,269000,nat,h
05/02/2015,269000,nat,h
05/09/2015,270000,nat,h
5/16/2015,275000,nat,h
5/23/2015,280000,nat,h
5/30/2015,275000,nat,h
06/06/2015,278000,nat,h
6/13/2015,268000,nat,h
6/20/2015,274000,nat,h
6/27/2015,275000,nat,h
07/04/2015,292000,nat,h
07/11/2015,284000,nat,h
7/18/2015,265000,nat,h
7/25/2015,268000,nat,h
08/01/2015,270000,nat,h
08/08/2015,274000,nat,h
8/15/2015,278000,nat,h
8/22/2015,274000,nat,h
8/29/2015,280000,nat,h
09/05/2015,272000,nat,h
09/12/2015,264000,nat,h
9/19/2015,269000,nat,h
9/26/2015,273000,nat,h
10/03/2015,267000,nat,h
10/10/2015,265000,nat,h
10/17/2015,265000,nat,h
10/24/2015,264000,nat,h
10/31/2015,275000,nat,h
11/07/2015,276000,nat,h
11/14/2015,274000,nat,h
11/21/2015,261000,nat,h
11/28/2015,264000,nat,h
12/05/2015,283000,nat,h
12/12/2015,271000,nat,h
12/19/2015,262000,nat,h
12/26/2015,277000,nat,h
01/02/2016,275000,nat,h
01/09/2016,282000,nat,h
1/16/2016,292000,nat,h
1/23/2016,270000,nat,h
1/30/2016,283000,nat,h
02/06/2016,265000,nat,h
2/13/2016,262000,nat,h
2/20/2016,271000,nat,h
2/27/2016,268000,nat,h
03/05/2016,256000,nat,h
03/12/2016,262000,nat,h
3/19/2016,263000,nat,h
3/26/2016,271000,nat,h
04/02/2016,269000,nat,h
04/09/2016,258000,nat,h
4/16/2016,254000,nat,h
4/23/2016,260000,nat,h
4/30/2016,279000,nat,h
05/07/2016,288000,nat,h
5/14/2016,278000,nat,h
5/21/2016,266000,nat,h
5/28/2016,264000,nat,h
06/04/2016,265000,nat,h
06/11/2016,273000,nat,h
6/18/2016,262000,nat,h
6/25/2016,263000,nat,h
07/02/2016,256000,nat,h
07/09/2016,255000,nat,h
7/16/2016,260000,nat,h
7/23/2016,263000,nat,h
7/30/2016,267000,nat,h
08/06/2016,266000,nat,h
8/13/2016,265000,nat,h
8/20/2016,264000,nat,h
8/27/2016,262000,nat,h
09/03/2016,257000,nat,h
09/10/2016,251000,nat,h
9/17/2016,252000,nat,h
9/24/2016,247000,nat,h
10/01/2016,247000,nat,h
10/08/2016,250000,nat,h
10/15/2016,265000,nat,h
10/22/2016,257000,nat,h
10/29/2016,266000,nat,h
11/05/2016,251000,nat,h
11/12/2016,235000,nat,h
11/19/2016,249000,nat,h
11/26/2016,259000,nat,h
12/03/2016,253000,nat,h
12/10/2016,257000,nat,h
12/17/2016,264000,nat,h
12/24/2016,255000,nat,h
12/31/2016,238000,nat,h
01/07/2017,242000,nat,h
1/14/2017,248000,nat,h
1/21/2017,257000,nat,h
1/28/2017,244000,nat,h
02/04/2017,235000,nat,h
02/11/2017,243000,nat,h
2/18/2017,244000,nat,h
2/25/2017,232000,nat,h
03/04/2017,244000,nat,h
03/11/2017,243000,nat,h
3/18/2017,253000,nat,h
3/25/2017,253000,nat,h
04/01/2017,232000,nat,h
04/08/2017,232000,nat,h
4/15/2017,241000,nat,h
4/22/2017,253000,nat,h
4/29/2017,242000,nat,h
05/06/2017,237000,nat,h
5/13/2017,235000,nat,h
5/20/2017,232000,nat,h
5/27/2017,251000,nat,h
06/03/2017,244000,nat,h
06/10/2017,238000,nat,h
6/17/2017,243000,nat,h
6/24/2017,239000,nat,h
07/01/2017,248000,nat,h
07/08/2017,246000,nat,h
7/15/2017,241000,nat,h
7/22/2017,243000,nat,h
7/29/2017,243000,nat,h
08/05/2017,244000,nat,h
08/12/2017,237000,nat,h
8/19/2017,239000,nat,h
8/26/2017,239000,nat,h
09/02/2017,300000,nat,h
09/09/2017,272000,nat,h
9/16/2017,260000,nat,h
9/23/2017,262000,nat,h
9/30/2017,257000,nat,h
10/07/2017,245000,nat,h
10/14/2017,233000,nat,h
10/21/2017,236000,nat,h
10/28/2017,237000,nat,h
